,Country,Region,Year,Month,seces_word,self-det_word,tot_words,Tax_Auto,Referendum,Ruling_cat,Mas_speech,Budget ,Year
,Spain,Catalonia,2007,Aug,0,0,0,0,0,0,0,26.68464,2007
,Spain,Catalonia,2007,Sep,1,0,1,0,0,0,0,26.68464,2007
,Spain,Catalonia,2007,Oct,0,1,1,0,0,0,0,26.68464,2007
,Spain,Catalonia,2007,Nov,0,1,1,0,0,0,0,26.68464,2007
,Spain,Catalonia,2007,Dec,0,2,2,0,0,0,0,26.68464,2007
,Spain,Catalonia,2008,Jan,0,0,0,0,0,0,0,28.24334,2008
,Spain,Catalonia,2008,Feb,1,2,3,0,0,0,0,28.24334,2008
,Spain,Catalonia,2008,Mar,0,0,0,0,0,0,0,28.24334,2008
,Spain,Catalonia,2008,Apr,0,1,1,0,0,0,0,28.24334,2008
,Spain,Catalonia,2008,May,0,2,2,0,0,0,0,28.24334,2008
,Spain,Catalonia,2008,Jun,0,0,0,0,0,0,0,28.24334,2008
,Spain,Catalonia,2008,Jul,0,0,0,0,0,0,0,28.24334,2008
,Spain,Catalonia,2008,Aug,0,0,0,0,0,0,0,28.24334,2008
,Spain,Catalonia,2008,Sep,0,0,0,0,0,0,0,28.24334,2008
,Spain,Catalonia,2008,Oct,0,0,0,0,0,0,0,28.24334,2008
,Spain,Catalonia,2008,Nov,0,0,0,0,0,0,0,28.24334,2008
,Spain,Catalonia,2008,Dec,0,0,0,0,0,0,0,28.24334,2008
,Spain,Catalonia,2009,Jan,0,0,0,0,0,0,0,29.73076,2009
,Spain,Catalonia,2009,Feb,0,0,0,0,0,0,0,29.73076,2009
,Spain,Catalonia,2009,Mar,0,0,0,0,0,0,0,29.73076,2009
,Spain,Catalonia,2009,Apr,0,0,0,0,0,0,0,29.73076,2009
,Spain,Catalonia,2009,May,0,0,0,0,0,0,0,29.73076,2009
,Spain,Catalonia,2009,Jun,0,8,8,0,0,0,0,29.73076,2009
,Spain,Catalonia,2009,Jul,0,1,1,0,0,0,0,29.73076,2009
,Spain,Catalonia,2009,Aug,0,0,0,0,0,0,0,29.73076,2009
,Spain,Catalonia,2009,Sep,0,1,1,0,0,0,0,29.73076,2009
,Spain,Catalonia,2009,Oct,0,1,1,0,0,0,0,29.73076,2009
,Spain,Catalonia,2009,Nov,0,0,0,0,0,0,0,29.73076,2009
,Spain,Catalonia,2009,Dec,0,1,1,0,0,0,0,29.73076,2009
,Spain,Catalonia,2010,Jan,1,0,1,0,0,0,0,32.51873,2010
,Spain,Catalonia,2010,Feb,0,0,0,0,0,0,0,32.51873,2010
,Spain,Catalonia,2010,Mar,0,10,10,0,0,0,0,32.51873,2010
,Spain,Catalonia,2010,Apr,1,0,1,0,0,0,0,32.51873,2010
,Spain,Catalonia,2010,May,0,0,0,0,0,0,0,32.51873,2010
,Spain,Catalonia,2010,Jun,0,0,0,0,0,1,0,32.51873,2010
,Spain,Catalonia,2010,Jul,2,8,10,0,0,1,0,32.51873,2010
,Spain,Catalonia,2010,Aug,0,0,0,0,0,1,0,32.51873,2010
,Spain,Catalonia,2010,Sep,1,0,1,0,0,1,0,32.51873,2010
,Spain,Catalonia,2010,Oct,0,0,0,0,0,1,0,32.51873,2010
,Spain,Catalonia,2010,Nov,0,0,0,0,0,1,0,32.51873,2010
,Spain,Catalonia,2010,Dec,0,3,3,0,0,1,0,32.51873,2010
,Spain,Catalonia,2011,Jan,0,0,0,0,0,1,0,32.63005,2011
,Spain,Catalonia,2011,Feb,1,1,2,0,0,1,0,32.63005,2011
,Spain,Catalonia,2011,Mar,0,31,31,0,0,1,0,32.63005,2011
,Spain,Catalonia,2011,Apr,3,9,12,0,0,1,0,32.63005,2011
,Spain,Catalonia,2011,May,0,0,0,0,0,1,0,32.63005,2011
,Spain,Catalonia,2011,Jun,0,1,1,0,0,1,0,32.63005,2011
,Spain,Catalonia,2011,Jul,0,0,0,0,0,1,0,32.63005,2011
,Spain,Catalonia,2011,Aug,0,0,0,0,0,1,0,32.63005,2011
,Spain,Catalonia,2011,Sep,0,3,3,0,0,1,0,32.63005,2011
